Date,Time,Open,High,Low,Close,Volume
20150809,21:00:00,1.09627,1.09647,1.09610,1.09611,1364520000
20150809,22:00:00,1.09611,1.09675,1.09606,1.09652,1764190005
20150809,23:00:00,1.09651,1.09652,1.09581,1.09583,1862909980
20150810,00:00:00,1.09583,1.09614,1.09511,1.09530,3124610002
20150810,01:00:00,1.09530,1.09741,1.09502,1.09722,3065770002
20150810,02:00:00,1.09725,1.09733,1.09582,1.09624,2890250000
20150810,03:00:00,1.09623,1.09676,1.09585,1.09660,1878390004
20150810,04:00:00,1.09661,1.09738,1.09651,1.09732,2094920006
20150810,05:00:00,1.09731,1.09736,1.09659,1.09731,2955300004
20150810,06:00:00,1.09734,1.09734,1.09570,1.09629,5782490000
20150810,07:00:00,1.09629,1.09810,1.09591,1.09593,10315030008
20150810,08:00:00,1.09593,1.09754,1.09582,1.09642,8903890016
20150810,09:00:00,1.09642,1.09710,1.09394,1.09417,8257669984
20150810,10:00:00,1.09419,1.09419,1.09279,1.09322,6976879980
20150810,11:00:00,1.09322,1.09613,1.09254,1.09607,8776360032
20150810,12:00:00,1.09607,1.09633,1.09447,1.09502,9907610032
20150810,13:00:00,1.09501,1.09733,1.09386,1.09703,10938860064
20150810,14:00:00,1.09704,1.09849,1.09623,1.09793,12470540032
20150810,15:00:00,1.09791,1.09943,1.09669,1.09935,9960570064
20150810,16:00:00,1.09935,1.10354,1.09890,1.10244,12646700024
20150810,17:00:00,1.10242,1.10414,1.10185,1.10232,7930840004
20150810,18:00:00,1.10232,1.10244,1.10124,1.10194,5875210000
20150810,19:00:00,1.10196,1.10207,1.10125,1.10180,4107429998
20150810,20:00:00,1.10180,1.10206,1.10137,1.10185,2494989990
20150810,21:00:00,1.10185,1.10216,1.10153,1.10164,2788359992
20150810,22:00:00,1.10164,1.10198,1.10153,1.10177,1160240000
20150810,23:00:00,1.10177,1.10227,1.10137,1.10155,1897759996
20150811,00:00:00,1.10155,1.10321,1.10145,1.10308,4060879996
20150811,01:00:00,1.10307,1.10307,1.09792,1.09823,8810949968
20150811,02:00:00,1.09822,1.09897,1.09692,1.09737,7251810008
20150811,03:00:00,1.09738,1.09860,1.09726,1.09800,4716799988
20150811,04:00:00,1.09801,1.09852,1.09730,1.09770,4039190000
20150811,05:00:00,1.09770,1.09778,1.09604,1.09692,5316710010
20150811,06:00:00,1.09695,1.09839,1.09632,1.09667,7945630016
20150811,07:00:00,1.09667,1.10414,1.09650,1.10376,15377729920
20150811,08:00:00,1.10375,1.10491,1.10222,1.10373,11025640000
20150811,09:00:00,1.10370,1.10413,1.10192,1.10232,8855530000
20150811,10:00:00,1.10231,1.10357,1.10199,1.10343,8488290000
20150811,11:00:00,1.10344,1.10477,1.10295,1.10419,9059019992
20150811,12:00:00,1.10419,1.10726,1.10332,1.10724,13587750072
20150811,13:00:00,1.10725,1.10882,1.10605,1.10651,15435510032
20150811,14:00:00,1.10651,1.10714,1.10319,1.10450,13788840032
20150811,15:00:00,1.10453,1.10690,1.10401,1.10407,13090490064
20150811,16:00:00,1.10410,1.10524,1.10104,1.10187,10759900048
20150811,17:00:00,1.10192,1.10375,1.10180,1.10305,6628350004
20150811,18:00:00,1.10304,1.10356,1.10215,1.10308,4647109996
20150811,19:00:00,1.10308,1.10437,1.10308,1.10436,4535029999
20150811,20:00:00,1.10437,1.10445,1.10375,1.10416,2702870002
20150811,21:00:00,1.10418,1.10433,1.10387,1.10419,2173780010
20150811,22:00:00,1.10424,1.10445,1.10406,1.10440,1850729994
20150811,23:00:00,1.10439,1.10459,1.10371,1.10417,2029620003
20150812,00:00:00,1.10416,1.10480,1.10390,1.10405,3766190000
