Date,Time,Open,High,Low,Close,Volume
20250602,00:00:00,1.13527,1.13705,1.13524,1.13702,2202500016
20250602,00:15:00,1.13702,1.13739,1.13687,1.13716,1479080000
20250602,00:30:00,1.13714,1.13725,1.13655,1.13668,1556980000
20250602,00:45:00,1.13668,1.13746,1.13643,1.13685,1816820008
20250602,01:00:00,1.13684,1.13744,1.13675,1.13716,1935510000
20250602,01:15:00,1.13718,1.13805,1.13701,1.13797,1976080016
20250602,01:30:00,1.13798,1.13819,1.13751,1.13779,1817450000
20250602,01:45:00,1.13783,1.13794,1.13697,1.13700,2488229992
20250602,02:00:00,1.13698,1.13734,1.13686,1.13688,1285859996
20250602,02:15:00,1.13690,1.13710,1.13654,1.13669,1463110002
20250602,02:30:00,1.13669,1.13731,1.13669,1.13699,989620008
20250602,02:45:00,1.13700,1.13706,1.13618,1.13642,969530000
20250602,03:00:00,1.13641,1.13656,1.13574,1.13585,875670000
20250602,03:15:00,1.13586,1.13633,1.13583,1.13583,707970000
20250602,03:30:00,1.13581,1.13583,1.13541,1.13573,970860000
20250602,03:45:00,1.13575,1.13618,1.13569,1.13616,857720000
20250602,04:00:00,1.13617,1.13636,1.13604,1.13610,791440000
20250602,04:15:00,1.13611,1.13646,1.13596,1.13640,888540004
20250602,04:30:00,1.13642,1.13644,1.13610,1.13628,983840000
20250602,04:45:00,1.13628,1.13666,1.13608,1.13654,1140300000
20250602,05:00:00,1.13655,1.13701,1.13635,1.13695,1259370000
20250602,05:15:00,1.13696,1.13725,1.13696,1.13720,1172700000
20250602,05:30:00,1.13719,1.13773,1.13695,1.13771,1616590000
20250602,05:45:00,1.13771,1.13803,1.13769,1.13792,2366100000
20250602,06:00:00,1.13793,1.13827,1.13782,1.13827,1944630000
20250602,06:15:00,1.13825,1.13916,1.13811,1.13906,1955149996
20250602,06:30:00,1.13909,1.14060,1.13907,1.14047,2050850000
20250602,06:45:00,1.14048,1.14067,1.13984,1.14012,1326520000
20250602,07:00:00,1.14011,1.14130,1.13985,1.14122,1749690000
20250602,07:15:00,1.14127,1.14199,1.14123,1.14168,1679520008
20250602,07:30:00,1.14170,1.14197,1.14130,1.14188,1256750008
20250602,07:45:00,1.14189,1.14367,1.14184,1.14236,2761440000
20250602,08:00:00,1.14237,1.14276,1.14189,1.14219,1858230000
20250602,08:15:00,1.14220,1.14270,1.14131,1.14153,1654750000
20250602,08:30:00,1.14156,1.14226,1.14127,1.14177,1724840000
20250602,08:45:00,1.14176,1.14226,1.14169,1.14200,1920360000
20250602,09:00:00,1.14200,1.14340,1.14191,1.14335,2017970000
20250602,09:15:00,1.14334,1.14368,1.14309,1.14324,1827690000
